iter	Passed	Remaining
0	104	104395
1	109	54794
2	111	37123
3	113	28139
4	114	22755
5	115	19162
6	116	16592
7	118	14667
8	120	13229
9	122	12102
10	124	11159
11	125	10366
12	127	9686
13	129	9089
14	131	8654
15	133	8192
16	135	7815
17	136	7452
18	138	7128
19	138	6810
20	139	6522
21	141	6278
22	142	6032
23	142	5806
24	143	5598
25	144	5406
26	145	5227
27	145	5061
28	146	4907
29	147	4764
30	148	4630
31	150	4543
32	151	4431
33	152	4321
34	152	4214
35	153	4114
36	154	4019
37	155	3929
38	155	3840
39	156	3758
40	157	3681
41	158	3607
42	159	3538
43	159	3471
44	160	3407
45	161	3345
46	162	3287
47	163	3250
48	165	3202
49	166	3159
50	167	3114
51	168	3067
52	169	3022
53	170	2994
54	172	2955
55	172	2912
56	173	2871
57	174	2831
58	175	2792
59	175	2755
60	176	2718
61	178	2696
62	179	2669
63	180	2642
64	181	2613
65	182	2583
66	183	2554
67	184	2527
68	185	2499
69	185	2470
70	186	2443
71	187	2416
72	188	2390
73	189	2365
74	189	2340
75	190	2316
76	191	2293
77	193	2285
78	194	2264
79	195	2244
80	195	2223
81	196	2202
82	197	2178
83	197	2158
84	198	2138
85	199	2119
86	200	2101
87	200	2082
88	201	2067
89	202	2050
90	203	2032
91	204	2016
92	205	2000
93	205	1984
94	207	1973
95	208	1961
96	209	1946
97	209	1931
98	210	1916
99	211	1902
100	212	1888
101	212	1874
102	213	1860
103	214	1847
104	215	1833
105	215	1820
106	216	1808
107	217	1795
108	218	1783
109	218	1771
110	219	1760
111	220	1749
112	222	1742
113	223	1737
114	224	1728
115	225	1721
116	226	1710
117	227	1700
118	228	1690
119	229	1680
120	230	1674
121	231	1664
122	232	1656
123	233	1648
124	234	1639
125	234	1630
126	235	1619
127	237	1615
128	238	1612
129	239	1606
130	241	1599
131	242	1592
132	243	1585
133	244	1577
134	244	1569
135	245	1560
136	246	1552
137	247	1544
138	247	1535
139	248	1527
140	249	1519
141	249	1510
142	250	1502
143	253	1505
144	254	1499
145	255	1492
146	255	1485
147	256	1477
148	257	1470
149	258	1463
150	259	1456
151	259	1449
152	260	1443
153	261	1436
154	262	1429
155	263	1423
156	263	1416
157	264	1409
158	265	1403
159	266	1397
160	267	1396
161	269	1391
162	270	1386
163	270	1380
164	271	1375
165	272	1370
166	273	1365
167	274	1359
168	275	1353
169	275	1347
170	276	1341
171	277	1335
172	278	1330
173	278	1324
174	279	1318
175	280	1313
176	281	1309
177	283	1307
178	283	1302
179	284	1297
180	285	1291
181	286	1286
182	287	1281
183	287	1276
184	288	1271
185	289	1266
186	290	1262
187	291	1257
188	292	1253
189	292	1248
190	293	1244
191	294	1239
192	295	1234
193	296	1230
194	297	1228
195	298	1224
196	299	1220
197	300	1215
198	300	1211
199	301	1206
200	302	1202
201	303	1197
202	303	1193
203	304	1189
204	305	1184
205	306	1180
206	307	1176
207	307	1171
208	308	1167
209	309	1163
210	310	1159
211	310	1155
212	312	1154
213	313	1150
214	314	1146
215	314	1143
216	315	1139
217	316	1135
218	317	1131
219	317	1127
220	318	1123
221	319	1119
222	320	1116
223	321	1112
224	321	1108
225	322	1104
226	323	1101
227	324	1097
228	324	1094
229	325	1090
230	326	1087
231	328	1085
232	328	1082
233	329	1078
234	330	1075
235	331	1071
236	331	1068
237	332	1064
238	333	1061
239	334	1057
240	334	1054
241	335	1051
242	336	1047
243	337	1045
244	338	1041
245	338	1038
246	339	1035
247	340	1032
248	341	1028
249	342	1027
250	343	1025
251	344	1021
252	345	1018
253	345	1015
254	346	1012
255	347	1009
256	348	1006
257	348	1003
258	349	1000
259	350	997
260	351	994
261	351	991
262	352	988
263	353	985
264	354	982
265	354	979
266	355	976
267	356	973
268	358	973
269	359	972
270	360	970
271	362	969
272	364	969
273	365	967
274	366	965
275	367	963
276	368	961
277	369	958
278	370	956
279	372	957
280	373	956
281	374	954
282	375	951
283	376	948
284	377	946
285	378	944
286	378	941
287	379	938
288	380	936
289	381	933
290	381	930
291	382	927
292	383	925
293	384	922
294	385	920
295	385	917
296	386	915
297	388	914
298	388	911
299	389	909
300	390	906
301	391	904
302	392	901
303	392	899
304	393	897
305	394	894
306	395	892
307	396	889
308	396	887
309	397	884
310	398	882
311	399	879
312	399	877
313	400	875
314	401	872
315	402	872
316	403	869
317	404	867
318	405	865
319	406	863
320	407	861
321	408	859
322	408	856
323	409	854
324	410	852
325	411	849
326	411	847
327	412	845
328	413	843
329	414	840
330	414	838
331	415	836
332	416	834
333	418	833
334	418	831
335	419	829
336	420	827
337	421	824
338	421	822
339	422	820
340	423	818
341	424	815
342	424	813
343	425	811
344	426	809
345	427	807
346	427	805
347	428	803
348	429	800
349	430	798
350	430	796
351	431	794
352	433	793
353	433	791
354	434	789
355	435	787
356	436	786
357	437	784
358	438	782
359	439	780
360	439	778
361	440	776
362	441	774
363	442	772
364	442	770
365	443	768
366	444	766
367	445	764
368	445	762
369	446	760
370	448	760
371	449	758
372	450	756
373	450	754
374	451	753
375	452	751
376	453	749
377	454	747
378	455	746
379	456	744
380	457	742
381	458	741
382	458	739
383	459	737
384	460	735
385	461	734
386	464	735
387	467	736
388	471	739
389	472	739
390	475	740
391	478	741
392	479	740
393	480	738
394	481	737
395	482	736
396	484	735
397	485	734
398	486	733
399	487	731
400	488	730
401	490	729
402	491	727
403	493	728
404	494	726
405	495	725
406	496	723
407	497	721
408	498	720
409	499	718
410	500	716
411	500	714
412	501	713
413	502	711
414	503	709
415	504	708
416	505	706
417	506	705
418	509	707
419	511	705
420	512	704
421	513	702
422	513	701
423	514	699
424	515	697
425	516	696
426	517	694
427	518	693
428	519	691
429	520	689
430	521	687
431	521	686
432	524	686
433	525	685
434	526	684
435	527	682
436	528	681
437	529	679
438	530	677
439	531	675
440	531	674
441	532	672
442	533	670
443	534	668
444	535	667
445	535	665
446	536	663
447	539	664
448	540	662
449	541	661
450	542	660
451	543	658
452	544	656
453	544	655
454	545	653
455	546	652
456	547	650
457	548	648
458	548	646
459	549	645
460	550	643
461	551	641
462	551	640
463	553	639
464	554	638
465	555	636
466	556	634
467	557	633
468	557	631
469	558	629
470	559	628
471	560	626
472	560	624
473	561	623
474	562	621
475	563	620
476	564	618
477	564	616
478	565	615
479	566	613
480	567	611
481	568	611
482	569	609
483	570	608
484	571	606
485	572	605
486	572	603
487	573	601
488	574	600
489	575	598
490	575	596
491	576	595
492	577	593
493	578	592
494	579	590
495	579	589
496	580	587
497	581	586
498	583	585
499	584	584
500	585	582
501	586	581
502	586	579
503	587	578
504	588	576
505	589	575
506	589	573
507	590	571
508	591	570
509	592	569
510	593	567
511	594	566
512	594	564
513	595	563
514	596	561
515	597	560
516	598	559
517	599	558
518	600	556
519	601	555
520	602	553
521	603	552
522	604	550
523	604	549
524	605	547
525	606	546
526	607	544
527	607	543
528	608	541
529	609	540
530	610	538
531	610	537
532	611	535
533	612	534
534	614	533
535	615	532
536	616	531
537	617	529
538	617	528
539	619	527
540	620	526
541	621	525
542	622	524
543	624	523
544	625	521
545	626	520
546	627	519
547	630	520
548	632	519
549	634	518
550	635	518
551	636	516
552	637	515
553	639	514
554	640	513
555	641	512
556	642	510
557	645	510
558	646	509
559	647	508
560	648	507
561	650	506
562	651	505
563	652	504
564	653	503
565	654	501
566	655	500
567	656	499
568	657	498
569	660	498
570	661	496
571	662	495
572	663	494
573	665	494
574	667	493
575	668	491
576	669	490
577	670	489
578	671	487
579	672	486
580	674	486
581	675	485
582	676	484
583	678	482
584	679	481
585	680	480
586	681	479
587	682	477
588	683	476
589	684	475
590	685	474
591	686	473
592	687	471
593	690	471
594	692	471
595	693	470
596	695	469
597	696	468
598	697	466
599	698	465
600	700	464
601	701	463
602	702	462
603	703	461
604	704	460
605	705	458
606	706	457
607	707	456
608	708	454
609	709	453
610	710	452
611	710	450
612	711	449
613	712	447
614	713	446
615	714	445
616	714	443
617	715	442
618	716	440
619	717	439
620	717	438
621	718	436
622	719	435
623	720	434
624	721	432
625	722	431
626	722	430
627	723	428
628	724	427
629	725	425
630	726	424
631	726	423
632	727	421
633	728	420
634	729	419
635	729	417
636	730	416
637	731	414
638	732	413
639	732	412
640	734	411
641	736	410
642	737	409
643	738	408
644	740	407
645	741	406
646	742	405
647	743	404
648	744	402
649	745	401
650	746	400
651	747	398
652	748	397
653	749	396
654	750	395
655	751	393
656	752	392
657	752	391
658	753	389
659	754	388
660	755	387
661	756	386
662	757	384
663	758	383
664	758	382
665	759	381
666	760	379
667	761	378
668	762	377
669	763	375
670	764	374
671	764	373
672	765	372
673	766	370
674	767	369
675	767	368
676	768	366
677	769	365
678	770	364
679	770	362
680	771	361
681	772	360
682	773	358
683	774	357
684	774	356
685	775	355
686	776	353
687	777	352
688	778	351
689	779	350
690	780	348
691	781	347
692	782	346
693	783	345
694	783	344
695	784	342
696	785	341
697	786	340
698	786	338
699	787	337
700	788	336
701	789	335
702	789	333
703	790	332
704	791	331
705	792	329
706	793	329
707	794	327
708	795	326
709	796	325
710	797	323
711	797	322
712	798	321
713	799	320
714	800	318
715	800	317
716	801	316
717	802	315
718	803	313
719	803	312
720	804	311
721	805	310
722	806	308
723	806	307
724	807	306
725	809	305
726	810	304
727	811	303
728	811	301
729	812	300
730	813	299
731	814	298
732	814	296
733	815	295
734	816	294
735	817	293
736	818	291
737	818	290
738	819	289
739	820	288
740	821	287
741	821	285
742	822	284
743	824	283
744	825	282
745	826	281
746	827	280
747	827	278
748	828	277
749	829	276
750	830	275
751	831	274
752	832	272
753	832	271
754	833	270
755	834	269
756	835	268
757	835	266
758	836	265
759	837	264
760	839	263
761	839	262
762	840	261
